DM2_COMPLETE_ALLOCATION: BPEOF = 200d0040 changed by vptr
ALLOC MEM RAM: BPEOF = 200d0040 / amount 928, wmask: 0400, wtype = 2
ALLOC MEM RAM: BPEOF = 200d0040 / amount 56, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 522, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 48184, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 15010, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 5004, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 1564, wmask: 0400, wtype = 0
ALLOC MEM RAM: BPEOF = 200cfa24 just changed.
DM2_DEALLOC_LOBIGPOOL: BPEOF = 200d0040 changed / amount 1564
ALLOC MEM RAM: BPEOF = 200d0040 / amount 9664, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 5474, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 240, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 112, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 72, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 40832, wmask: 0400, wtype = 1
ALLOC MEM RAM: BPEOF = 200d0040 / amount 1024, wmask: 0400, wtype = 2
============================
ULP #Items = 00026>> 
u_lp #0000: 180c5ab8 || x32 = 80000000 (np) -> len = 00000 (0000) || i8* = 80000000  || Data = 
u_lp #0001: 180c5abc || x32 = 180c0a64      -> len = 00000 (0000) || i8* = 180C0A64  || Data = 
u_lp #0002: 180c5ac0 || x32 = 80000049 (np) -> len = 00000 (0000) || i8* = 80000049  || Data = 
u_lp #0003: 180c5ac4 || x32 = 180ba01e      -> len = 00000 (0000) || i8* = 180BA01E  || Data = 
u_lp #0004: 180c5ac8 || x32 = 180b38cc      -> len = 00000 (0000) || i8* = 180B38CC  || Data = 
u_lp #0005: 180c5acc || x32 = 80000007 (np) -> len = 00000 (0000) || i8* = 80000007  || Data = 
u_lp #0006: 180c5ad0 || x32 = 8000000a (np) -> len = 00000 (0000) || i8* = 8000000A  || Data = 
u_lp #0007: 180c5ad4 || x32 = 80000008 (np) -> len = 00000 (0000) || i8* = 80000008  || Data = 
u_lp #0008: 180c5ad8 || x32 = 80000017 (np) -> len = 00000 (0000) || i8* = 80000017  || Data = 
u_lp #0009: 180c5adc || x32 = 8000001e (np) -> len = 00000 (0000) || i8* = 8000001E  || Data = 
